2020-11-06:12:07:31,753 DEBUG    [fighter.py:40] Fighter running
2020-11-06:12:08:13,341 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:13,342 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:08:13,342 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:08:13,342 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:08:13,466 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:08:13,466 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:08:15,463 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:08:15,463 INFO     [bot.py:58] Enter combat took: 1.9959624999999974
2020-11-06:12:08:17,112 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:08:17,188 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:17,188 DEBUG    [fighter.py:107] fighting 3 mobs
2020-11-06:12:08:17,188 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:18,788 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:18,788 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:08:18,788 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:20,93 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:20,93 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:08:20,93 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:22,52 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:08:22,302 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:08:22,302 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:08:24,343 DEBUG    [bot.py:48] No mobs found
2020-11-06:12:08:24,344 DEBUG    [bot.py:42] Current map (8, -18)
2020-11-06:12:08:24,880 INFO     [bot.py:99] Current map coords: (8, -18)
2020-11-06:12:08:24,880 DEBUG    [bot.py:101] Changing map to destination (8, -17)
2020-11-06:12:08:28,392 INFO     [bot.py:109] Change map took 3.511468999999998
2020-11-06:12:08:29,11 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:08:29,110 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:08:29,111 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:08:30,609 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:08:30,610 INFO     [bot.py:58] Enter combat took: 1.498988500000003
2020-11-06:12:08:32,261 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:08:32,337 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:32,337 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:08:32,337 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:34,405 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:34,405 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:08:34,405 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:36,419 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:08:36,834 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:36,834 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:08:36,834 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:08:36,834 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:08:37,367 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:08:37,368 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:08:39,184 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:08:39,185 INFO     [bot.py:58] Enter combat took: 1.8166345000000064
2020-11-06:12:08:40,836 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:08:40,910 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:40,910 DEBUG    [fighter.py:107] fighting 8 mobs
2020-11-06:12:08:40,910 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:41,230 DEBUG    [fighter.py:118] path found
2020-11-06:12:08:41,230 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:08:51,630 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:08:51,708 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:51,708 DEBUG    [fighter.py:107] fighting 8 mobs
2020-11-06:12:08:51,708 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:51,990 DEBUG    [fighter.py:118] path found
2020-11-06:12:08:51,990 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:08:52,982 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:08:54,725 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:08:54,725 DEBUG    [fighter.py:107] fighting 7 mobs
2020-11-06:12:08:54,725 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:08:55,0 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:00,756 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:09:00,834 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:00,834 DEBUG    [fighter.py:107] fighting 7 mobs
2020-11-06:12:09:00,834 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:01,127 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:01,128 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:09:01,573 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:09:02,986 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:02,986 DEBUG    [fighter.py:107] fighting 6 mobs
2020-11-06:12:09:02,986 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:04,57 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:04,57 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:09:05,60 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:09:06,487 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:06,487 DEBUG    [fighter.py:107] fighting 5 mobs
2020-11-06:12:09:06,488 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:08,750 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:08,751 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:09:15,454 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:09:15,531 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:15,531 DEBUG    [fighter.py:107] fighting 5 mobs
2020-11-06:12:09:15,531 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:17,314 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:17,314 DEBUG    [fighter.py:107] fighting 4 mobs
2020-11-06:12:09:17,314 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:17,607 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:17,607 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:09:18,207 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:09:19,634 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:19,634 DEBUG    [fighter.py:107] fighting 3 mobs
2020-11-06:12:09:19,634 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:19,634 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:19,634 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:09:20,159 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:09:26,698 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:09:26,772 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:26,773 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:09:26,773 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:28,543 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:28,544 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:09:28,544 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:09:28,855 DEBUG    [fighter.py:118] path found
2020-11-06:12:09:28,855 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:09:29,234 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:09:31,304 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:09:31,488 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:09:31,488 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:09:31,489 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:09:31,489 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:09:33,583 DEBUG    [bot.py:48] No mobs found
2020-11-06:12:09:33,583 DEBUG    [bot.py:42] Current map (8, -17)
2020-11-06:12:09:34,90 INFO     [bot.py:99] Current map coords: (8, -17)
2020-11-06:12:09:34,90 DEBUG    [bot.py:101] Changing map to destination (9, -17)
2020-11-06:12:09:40,775 INFO     [bot.py:109] Change map took 6.683761300000015
2020-11-06:12:09:41,292 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:09:41,425 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:09:41,426 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:09:46,426 DEBUG    [bot.py:60] Couldn't open combat!
2020-11-06:12:09:46,426 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:09:46,669 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:09:46,670 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:09:51,671 DEBUG    [bot.py:60] Couldn't open combat!
2020-11-06:12:09:51,671 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:09:51,763 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:09:51,763 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:09:56,764 DEBUG    [bot.py:60] Couldn't open combat!
2020-11-06:12:09:56,764 DEBUG    [bot.py:42] Current map (9, -17)
2020-11-06:12:09:57,288 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:09:57,288 DEBUG    [bot.py:101] Changing map to destination (10, -17)
2020-11-06:12:10:04,745 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:10:04,746 DEBUG    [bot.py:101] Changing map to destination (10, -17)
2020-11-06:12:10:11,605 DEBUG    [bot.py:42] Current map (9, -17)
2020-11-06:12:10:12,132 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:10:12,132 DEBUG    [bot.py:101] Changing map to destination (8, -17)
2020-11-06:12:10:16,348 INFO     [bot.py:109] Change map took 4.214372400000002
2020-11-06:12:10:16,872 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:10:17,431 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:10:17,433 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:10:22,434 DEBUG    [bot.py:60] Couldn't open combat!
2020-11-06:12:10:22,434 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:10:23,191 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:10:24,765 DEBUG    [bot.py:48] No mobs found
2020-11-06:12:10:24,765 DEBUG    [bot.py:42] Current map (8, -17)
2020-11-06:12:10:24,823 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:10:24,901 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:10:24,901 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:10:24,901 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:10:25,385 DEBUG    [fighter.py:118] path found
2020-11-06:12:10:25,385 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:10:29,11 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:10:29,85 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:10:29,85 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:10:29,85 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:10:29,407 DEBUG    [fighter.py:118] path found
2020-11-06:12:10:29,407 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:10:30,395 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:10:32,181 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:10:32,498 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:10:32,498 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:10:32,498 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:10:32,982 INFO     [bot.py:99] Current map coords: (8, -17)
2020-11-06:12:10:32,982 DEBUG    [bot.py:101] Changing map to destination (9, -17)
2020-11-06:12:10:40,316 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:10:40,316 DEBUG    [bot.py:101] Changing map to destination (10, -17)
2020-11-06:12:10:46,967 DEBUG    [bot.py:42] Current map (9, -17)
2020-11-06:12:10:47,514 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:10:47,514 DEBUG    [bot.py:101] Changing map to destination (9, -18)
2020-11-06:12:10:54,480 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:10:54,480 DEBUG    [bot.py:101] Changing map to destination (9, -18)
2020-11-06:12:11:01,393 DEBUG    [bot.py:42] Current map (9, -17)
2020-11-06:12:11:02,3 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:11:02,3 DEBUG    [bot.py:101] Changing map to destination (10, -17)
2020-11-06:12:11:09,99 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:11:09,100 DEBUG    [bot.py:101] Changing map to destination (10, -17)
2020-11-06:12:11:15,939 DEBUG    [bot.py:42] Current map (9, -17)
2020-11-06:12:11:16,449 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:11:16,449 DEBUG    [bot.py:101] Changing map to destination (9, -16)
2020-11-06:12:11:23,521 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:11:23,521 DEBUG    [bot.py:101] Changing map to destination (9, -16)
2020-11-06:12:11:30,301 DEBUG    [bot.py:42] Current map (9, -17)
2020-11-06:12:11:30,808 INFO     [bot.py:99] Current map coords: (9, -17)
2020-11-06:12:11:30,809 DEBUG    [bot.py:101] Changing map to destination (8, -17)
2020-11-06:12:11:35,841 INFO     [bot.py:109] Change map took 5.031037999999995
2020-11-06:12:11:36,370 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:11:38,437 DEBUG    [bot.py:48] No mobs found
2020-11-06:12:11:38,437 DEBUG    [bot.py:42] Current map (8, -17)
2020-11-06:12:11:38,949 INFO     [bot.py:99] Current map coords: (8, -17)
2020-11-06:12:11:38,949 DEBUG    [bot.py:101] Changing map to destination (8, -16)
2020-11-06:12:11:46,281 INFO     [bot.py:99] Current map coords: (8, -16)
2020-11-06:12:11:46,282 DEBUG    [bot.py:101] Changing map to destination (8, -15)
2020-11-06:12:11:51,281 INFO     [bot.py:109] Change map took 4.9979510000000005
2020-11-06:12:11:51,818 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:11:51,952 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:11:51,953 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:11:55,966 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:11:55,966 INFO     [bot.py:58] Enter combat took: 4.013215300000013
2020-11-06:12:11:57,616 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:11:57,692 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:11:57,693 DEBUG    [fighter.py:107] fighting 6 mobs
2020-11-06:12:11:57,693 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:11:59,742 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:11:59,742 DEBUG    [fighter.py:107] fighting 5 mobs
2020-11-06:12:11:59,742 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:01,777 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:01,777 DEBUG    [fighter.py:107] fighting 4 mobs
2020-11-06:12:12:01,778 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:07,843 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:12:07,917 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:07,917 DEBUG    [fighter.py:107] fighting 3 mobs
2020-11-06:12:12:07,918 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:08,236 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:08,236 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:08,627 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:12:10,421 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:10,422 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:12:10,422 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:10,425 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:10,425 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:13,949 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:12:14,23 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:14,23 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:12:14,23 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:14,571 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:14,572 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:18,171 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:12:18,246 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:18,246 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:12:18,246 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:18,535 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:18,536 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:19,54 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:12:20,397 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:20,397 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:12:20,398 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:21,296 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:21,296 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:22,993 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:12:24,831 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:12:25,94 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:25,94 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:12:25,94 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:12:25,94 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:12:25,220 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:12:25,221 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:12:27,480 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:12:27,480 INFO     [bot.py:58] Enter combat took: 2.259117500000002
2020-11-06:12:12:29,131 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:12:29,209 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:29,209 DEBUG    [fighter.py:107] fighting 3 mobs
2020-11-06:12:12:29,209 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:29,511 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:29,511 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:30,99 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:12:31,356 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:31,357 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:12:31,357 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:31,357 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:31,357 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:38,23 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:12:38,99 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:38,99 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:12:38,99 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:40,131 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:40,131 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:12:40,132 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:42,664 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:12:42,963 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:42,963 DEBUG    [fighter.py:107] fighting 0 mobs
2020-11-06:12:12:42,964 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:12:42,964 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:12:45,60 DEBUG    [bot.py:48] No mobs found
2020-11-06:12:12:45,60 DEBUG    [bot.py:42] Current map (8, -15)
2020-11-06:12:12:45,591 INFO     [bot.py:99] Current map coords: (8, -15)
2020-11-06:12:12:45,592 DEBUG    [bot.py:101] Changing map to destination (9, -15)
2020-11-06:12:12:49,117 INFO     [bot.py:109] Change map took 3.5249380999999858
2020-11-06:12:12:49,690 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:12:49,886 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:12:49,887 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:12:51,905 DEBUG    [fighter.py:43] Combat started
2020-11-06:12:12:51,906 INFO     [bot.py:58] Enter combat took: 2.0185630999999944
2020-11-06:12:12:53,555 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:12:53,628 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:53,629 DEBUG    [fighter.py:107] fighting 6 mobs
2020-11-06:12:12:53,629 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:55,681 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:55,681 DEBUG    [fighter.py:107] fighting 5 mobs
2020-11-06:12:12:55,681 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:57,737 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:12:57,737 DEBUG    [fighter.py:107] fighting 4 mobs
2020-11-06:12:12:57,737 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:12:58,21 DEBUG    [fighter.py:118] path found
2020-11-06:12:12:58,21 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:12:59,44 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:13:08,187 DEBUG    [fighter.py:78] Bot turn started
2020-11-06:12:13:08,262 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:13:08,262 DEBUG    [fighter.py:107] fighting 3 mobs
2020-11-06:12:13:08,263 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:13:10,12 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:13:10,12 DEBUG    [fighter.py:107] fighting 2 mobs
2020-11-06:12:13:10,12 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:13:10,329 DEBUG    [fighter.py:118] path found
2020-11-06:12:13:10,329 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:13:11,924 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:13:13,673 DEBUG    [fighter.py:106] combat grid parsed successfully
2020-11-06:12:13:13,674 DEBUG    [fighter.py:107] fighting 1 mobs
2020-11-06:12:13:13,674 DEBUG    [fighter.py:113] searching path to mobs
2020-11-06:12:13:13,944 DEBUG    [fighter.py:118] path found
2020-11-06:12:13:13,944 DEBUG    [fighter.py:121] moving towards target
2020-11-06:12:13:14,443 DEBUG    [fighter.py:124] can hit target
2020-11-06:12:13:16,13 DEBUG    [fighter.py:82] Fight ended detected
2020-11-06:12:13:16,380 DEBUG    [fighter.py:64] Combat ended
2020-11-06:12:13:16,380 DEBUG    [bot.py:36] Searching for mobs group...
2020-11-06:12:13:16,549 DEBUG    [bot.py:39] I found a mob group
2020-11-06:12:13:16,550 DEBUG    [bot.py:55] Clicked on mobs group
2020-11-06:12:13:20,134 DEBUG    [fighter.py:43] Combat started
